OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME
9E,5304,ATL,MGM,852,843
9E,5304,MGM,ATL,934,1130
9E,5307,ATL,EVV,956,1018
9E,5307,EVV,ATL,1102,1318
9E,5310,RDU,DCA,1451,1613
9E,5311,ROC,LGA,700,811
9E,5312,ATL,VLD,1335,1434
9E,5312,VLD,ATL,1522,1644
9E,5313,LGA,RIC,1010,1135
9E,5313,RIC,LGA,1238,1344
9E,5315,ITH,JFK,1452,1606
9E,5315,JFK,ITH,1255,1357
9E,5316,JFK,RIC,832,1002
9E,5316,RIC,JFK,1050,1209
9E,5317,TYS,ATL,700,807
9E,5318,ROC,JFK,535,708
9E,5320,LGA,CHO,2154,2302
9E,5321,ROA,LGA,711,829
9E,5322,DCA,RDU,1658,1800
9E,5323,LGA,CHO,925,1047
9E,5325,MEM,LGA,1155,1525
9E,5326,JFK,ORF,2051,2226
9E,5328,JFK,SYR,1328,1437
9E,5328,SYR,JFK,1547,1657
9E,5332,JFK,PIT,1359,1549
9E,5335,ATL,AGS,2050,2149
9E,5336,LGA,CHO,1655,1813
9E,5337,MGM,ATL,555,757
9E,5340,LGA,ROC,927,1045
9E,5343,ROC,LGA,1952,2053
9E,5345,DTW,DSM,1624,1714
9E,5347,ATL,XNA,1722,1811
9E,5347,XNA,ATL,1925,2158
9E,5348,LGA,ORF,1539,1700
9E,5350,MEM,DTW,1156,1436
9E,5351,IND,LGA,848,1050
9E,5352,ATL,CSG,1210,1258
9E,5352,CSG,ATL,1401,1452
9E,5355,SYR,LGA,625,800
9E,5356,ORF,JFK,708,820
9E,5357,BTV,LGA,1334,1450
9E,5357,LGA,BTV,1050,1156
9E,5360,LGA,RIC,1735,1858
9E,5360,RIC,LGA,1947,2108
9E,5361,DTW,LAN,1057,1136
9E,5361,LAN,DTW,1223,1302
9E,5363,SYR,JFK,544,711
9E,5365,ATL,OAJ,1102,1217
9E,5365,OAJ,ATL,1309,1442
9E,5368,AGS,ATL,703,801
9E,5370,JFK,ORF,947,1108
9E,5370,ORF,JFK,1204,1316
9E,5371,JFK,SYR,2248,2400
9E,5373,ATL,MOB,1001,1021
9E,5373,MOB,ATL,1057,1310
9E,5375,ATL,MGM,1944,1942
9E,5377,ATL,DHN,1336,1327
9E,5377,DHN,ATL,1428,1621
9E,5380,LGA,BUF,1624,1757
9E,5383,BMI,ATL,555,904
9E,5384,CWA,MSP,655,752
9E,5386,ATL,SHV,2013,2101
9E,5387,LGA,ROC,1451,1603
9E,5388,GSP,LGA,1806,1949
9E,5389,ATL,BMI,1422,1457
9E,5389,BMI,ATL,1545,1818
9E,5390,ATL,BTR,1539,1614
9E,5391,CHO,LGA,1212,1322
9E,5392,ATL,CRW,1736,1853
9E,5392,CRW,ATL,1942,2051
9E,5394,JFK,ITH,2223,2323
9E,5396,LGA,BGR,2146,2305
9E,5397,LGA,BUF,2146,2304
9E,5398,LGA,SAV,2050,2259
9E,5402,DSM,MSP,650,756
9E,5403,CSG,ATL,617,709
9E,5404,RDU,LGA,1255,1441
9E,5408,JFK,MCI,1449,1639
9E,5409,LGA,PWM,1418,1529
9E,5409,PWM,LGA,1626,1744
9E,5410,ATL,BMI,2201,2244
9E,5411,JFK,IAD,1553,1719
9E,5414,DSM,DTW,615,849
9E,5417,LGA,ROC,2145,2314
9E,5418,ATL,CHO,949,1120
9E,5419,CHO,LGA,650,800
9E,5421,LGA,SYR,1003,1120
9E,5421,SYR,LGA,1207,1317
9E,5424,LGA,ORH,1508,1622
9E,5424,ORH,LGA,1659,1814
9E,5425,BWI,JFK,614,713
9E,5426,BUF,JFK,1213,1336
9E,5428,DCA,RDU,2219,2334
9E,5429,ATL,CSG,1934,2017
9E,5431,CAE,ATL,1522,1624
9E,5434,ORF,MSP,1749,1955
9E,5436,JFK,SYR,847,1001
9E,5436,SYR,JFK,1056,1202
9E,5437,CHO,ATL,1849,2022
9E,5439,GSO,LGA,1912,2044
9E,5440,JFK,MCI,914,1117
9E,5442,ATL,CAE,1338,1437
9E,5443,ATL,VLD,2043,2140
9E,5444,MSP,OMA,847,952
9E,5444,OMA,MSP,1046,1159
9E,5445,CHS,JFK,657,851
9E,5448,CAE,ATL,801,911
9E,5451,ROC,LGA,1148,1256
9E,5452,ATL,MLU,2009,2039
9E,5453,IAD,JFK,1113,1224
9E,5454,ALB,LGA,651,743
9E,5455,LGA,TYS,1450,1707
9E,5455,TYS,LGA,1748,1940
9E,5456,JAN,ATL,1728,2012
9E,5457,SAV,LGA,915,1113
9E,5459,JFK,SAV,1802,2031
9E,5460,JFK,SAV,1330,1548
9E,5460,SAV,JFK,1655,1903
9E,5461,CLT,LGA,1407,1547
9E,5462,ABE,ATL,558,805
9E,5467,ATL,ABE,2055,2300
9E,5469,ATL,SHV,1414,1456
9E,5469,SHV,ATL,1601,1840
9E,5473,CHO,LGA,1717,1855
9E,5476,LGA,XNA,1555,1802
9E,5476,XNA,LGA,1850,2249
9E,5478,DTW,CVG,2152,2250
9E,5479,CVG,DTW,630,740
9E,5480,ATL,JAN,1626,1641
9E,5481,JFK,BTV,2230,2353
9E,5482,ATL,SGF,949,1036
9E,5484,CHA,ATL,1454,1537
9E,5485,ATL,JAN,817,832
9E,5485,JAN,ATL,917,1133
9E,5488,JAX,LGA,1149,1359
9E,5491,SHV,ATL,558,840
9E,5493,LGA,ALB,2146,2233
9E,5497,TLH,ATL,1000,1109
9E,5499,FAR,MSP,1100,1152
9E,5499,MSP,FAR,906,1012
9E,5500,FAR,MSP,1552,1649
9E,5500,MSP,FAR,1256,1403
9E,5504,CAE,ATL,1145,1251
9E,5507,CVG,JFK,1822,2024
9E,5511,MSP,ORF,1302,1640
9E,5513,ATL,TRI,905,1012
9E,5513,TRI,ATL,1050,1153
9E,5514,ALB,LGA,1438,1526
9E,5514,LGA,ALB,1244,1344
9E,5516,ATL,TLH,816,913
9E,5517,GSP,DTW,1256,1430
9E,5518,LGA,PIT,1358,1520
9E,5519,JFK,DTW,1855,2049
9E,5523,TYS,MSP,621,741
9E,5524,ATL,CHA,1324,1403
9E,5526,ATL,CAE,959,1058
9E,5527,MSP,TYS,1944,2301
9E,5528,ATL,HSV,820,826
9E,5528,HSV,ATL,912,1101
9E,5531,BGR,JFK,530,705
9E,5534,ATL,LFT,1111,1151
9E,5534,LFT,ATL,1352,1626
9E,5535,ATL,CHA,1745,1838
9E,5535,CHA,ATL,1914,2007
AA,1,JFK,LAX,558,848
AA,10,LAX,JFK,2253,705
AA,1002,LAX,PHL,744,1547
AA,1003,DEN,MIA,25,559
AA,1004,BOS,CLT,753,1025
AA,1004,CLT,MCO,1112,1250
AA,1005,CHS,DFW,658,858
AA,1006,MIA,ATL,2026,2224
AA,1008,ATL,DFW,1646,1758
AA,1008,DFW,ATL,1230,1548
AA,1009,DFW,MCO,1714,2047
AA,1010,DFW,STL,2110,2303
AA,1011,CLT,MIA,1200,1402
AA,1011,MIA,CLT,830,1031
AA,1014,SJU,MIA,615,903
AA,1015,LAX,LAS,753,900
AA,1017,MIA,AUS,1648,1843
AA,1018,AUS,MIA,1742,2114
AA,1019,DFW,JFK,841,1302
AA,102,HNL,DFW,1742,525
